date,region,product,units,revenue
2024-01-03,North,Widget A,120,2400.00
2024-01-03,South,Widget B,85,1700.00
2024-01-04,North,Widget B,60,1200.00
2024-01-04,East,Widget A,200,4000.00
2024-01-05,West,Widget C,45,1350.00
2024-01-05,South,Widget A,90,1800.00
2024-01-06,East,Widget B,110,2200.00
2024-01-06,North,Widget C,30,900.00
2024-01-07,West,Widget A,150,3000.00
2024-01-07,South,Widget C,75,2250.00
2024-01-08,East,Widget A,95,1900.00
2024-01-08,North,Widget B,140,2800.00
2024-01-09,West,Widget B,55,1100.00
2024-01-09,South,Widget A,180,3600.00
2024-01-10,East,Widget C,65,1950.00
